0 -14.94 -12.8199 -5.2945 -2.7548 -2.7548 -1.63139 -1.63139 1.90637 
1 -14.9614 -12.8178 -5.30851 -2.75633 -2.75633 -1.63045 -1.63045 1.89862 
2 -14.9721 -12.8167 -5.31646 -2.75718 -2.75718 -1.62989 -1.62988 1.8963 
3 -14.9715 -12.8165 -5.3181 -2.75732 -2.75732 -1.62971 -1.62971 1.89951 
4 -14.9598 -12.8174 -5.31346 -2.75675 -2.75674 -1.62994 -1.62993 1.90825 
5 -14.9374 -12.8192 -5.30283 -2.75549 -2.75549 -1.63053 -1.63052 1.92238 
6 -14.9053 -12.822 -5.28681 -2.75362 -2.75362 -1.63146 -1.63145 1.94162 
7 -14.8646 -12.8256 -5.26622 -2.75122 -2.75121 -1.63268 -1.63267 1.96558 
8 -14.817 -12.8299 -5.24215 -2.7484 -2.74839 -1.63413 -1.63411 1.99371 
9 -14.7643 -12.8348 -5.21584 -2.74529 -2.74527 -1.63572 -1.6357 2.02532 
10 -14.7087 -12.8401 -5.18872 -2.74204 -2.74201 -1.63737 -1.63735 2.05957 
11 -14.6522 -12.8454 -5.16229 -2.7388 -2.73877 -1.63898 -1.63896 2.09551 
12 -14.5971 -12.8506 -5.13811 -2.73574 -2.73571 -1.64047 -1.64043 2.13208 
13 -14.5456 -12.8552 -5.11769 -2.73301 -2.73298 -1.64172 -1.64168 2.16816 
14 -14.4995 -12.8588 -5.10243 -2.73077 -2.73073 -1.64266 -1.64262 2.20262 
15 -14.4609 -12.861 -5.09357 -2.72915 -2.7291 -1.64321 -1.64315 2.23435 
16 -14.4311 -12.8615 -5.09213 -2.72825 -2.72819 -1.64329 -1.64322 2.26239 
17 -14.4114 -12.86 -5.09882 -2.72816 -2.72809 -1.64285 -1.64278 2.28593 
18 -14.4027 -12.8562 -5.11405 -2.72892 -2.72884 -1.64188 -1.6418 2.3044 
19 -14.4051 -12.8502 -5.13788 -2.73055 -2.73047 -1.64036 -1.64027 2.3175 
20 -14.4186 -12.8421 -5.17002 -2.73303 -2.73294 -1.63831 -1.63822 2.32523 
21 -14.4426 -12.8323 -5.20982 -2.73631 -2.73621 -1.63578 -1.63567 2.32785 
22 -14.4761 -12.8211 -5.25634 -2.74029 -2.74018 -1.63281 -1.6327 2.32591 
23 -14.5176 -12.8089 -5.30835 -2.74486 -2.74474 -1.62949 -1.62937 2.32017 
24 -14.5656 -12.7964 -5.36439 -2.74989 -2.74976 -1.62591 -1.62577 2.31154 
25 -14.6181 -12.7839 -5.42284 -2.75521 -2.75507 -1.62215 -1.62201 2.30105 
26 -14.6732 -12.7717 -5.48203 -2.76066 -2.76051 -1.61834 -1.61819 2.28974 
27 -14.7288 -12.7603 -5.54022 -2.76608 -2.76592 -1.61455 -1.6144 2.27866 
28 -14.7827 -12.7499 -5.59577 -2.77131 -2.77114 -1.61091 -1.61075 2.2688 
29 -14.8329 -12.7406 -5.64716 -2.77618 -2.776 -1.60749 -1.60732 2.26105 
30 -14.8773 -12.7326 -5.69302 -2.78056 -2.78037 -1.60438 -1.6042 2.2562 
31 -14.9143 -12.726 -5.73221 -2.78432 -2.78413 -1.60165 -1.60147 2.25488 
32 -14.9423 -12.7209 -5.76383 -2.78737 -2.78717 -1.59936 -1.59916 2.25762 
33 -14.9603 -12.7173 -5.78726 -2.78964 -2.78943 -1.59754 -1.59734 2.26478 
34 -14.9676 -12.7151 -5.80212 -2.79107 -2.79086 -1.59622 -1.59602 2.2766 
35 -14.9637 -12.7145 -5.80833 -2.79165 -2.79144 -1.59542 -1.59521 2.29317 
